question,choices,answer,subject,output
Gabaan appilii walmadaalummaa keessa jira. Mee qonnaan bultoonni appilii oomisha appilii guddisuuf qoricha aramaa baay’ee fayyadamaa akka jiran ilaalle haa jennu. Kanuma waliin gatiin peerii bakka bu'aa appilii ta'e dabalaa akka jiru dhageenya. Gatii fi baay’ina appilii haaraa kanaaf tilmaama madaalawaa ta’e kanneen armaan gadii keessaa isa kami?,"[""Gatiin ni dabala, garuu baay'inni wal-xaxaa dha."", ""Gatiin gadi bu'a, garuu baay'inni wal-xaxaa dha."", ""Gatiin wal-xaxaa dha, garuu baay'inni ni dabala."", ""Gatiin wal-xaxaa dha, garuu baay'inni ni kufa.""]",C,high_school_microeconomics,A) Gatiin ni dabala
Kanneen armaan gadii keessaa kamtu korboo fedhii dhangala’aa burtukaanaa keessatti gara mirgaatti jijjiirama fiduu danda’a?,"[""Midhaan burtukaana baay'ee guddaa ta'e kan Filooriidaa keessatti argamu"", ""Gatiin Taang hir'achuu isaa"", ""Gara fuulduraatti gatiin dhangala'aa burtukaanaa gadi bu'a jedhamee yaadama"", ""Galiin gara fuula duraa ol’aanaa namoota dhangala'aa dhugan biratti eegamuu""]",D,high_school_microeconomics,A) Midhaan burtukaana baay'ee guddaa ta'e kan Filooriidaa keessatti argamu
Dhaabbata dorgomaa sirrii ta'e ilaalchisee ibsa armaan gadii keessaa kamtu sirrii dha?,"['Fedhiin gara gadi bu’aa jira.', ""Korboon fedhii Korboo galii baay'ee xiqqaa ol ta’a."", 'Gatiin kan murtaa’u walmadaalummaa gabaa guutuu keessatti argamuun.', 'Galiin giddu galeessaa gatii irra adda.']",C,high_school_microeconomics,A) Fedhiin gara gadi bu’aa jira.
"Ogeeyyiin dinagdee jecha ""kaappitaala"" jedhu hiikuuf fayyadamu","['maallaqa.', 'warshaa fi meeshaalee.', 'bakka mootummaan giddu galeessaa jiru.', 'wiirtuu dinagdee.']",B,high_school_microeconomics,C) bakka mootummaan giddu galeessaa jiru.
"Reey fi Doorotiin lamaan isaanii iyyuu nyaata bilcheessuu kan dandaʼan siʼa taʼu, Dilbata waaree booda lamaan isaanii iyyuu marga iddoo biqiltuu keessatti guuruu dandaʼu. Sa'aatii nyaata bilcheessuu hundaaf Reey marga 50, Doorotiin immoo marga 100 guuruu dandahu. Odeeffannoo kana irratti hundaa’uun,","['Reey nyaata bilcheessuun faayidaa guutuu waan qabuuf marga harkisa.', 'Doorotiin nyaata bilcheessuun faayidaa guutuu waan qabduuf marga harkifti.', 'Doorotiin nyaata bilcheessuun wal bira qabamee yoo ilaalamu faayidaa waan qabduuf nyaata bilcheessiti.', 'Reey nyaata bilcheessuun wal bira qabamee yoo ilaalamu faayidaa waan qabuuf nyaata bilcheessa.']",D,high_school_microeconomics,"A) Reey nyaata bilcheessuun faayidaa guutuu waan qabuuf marga 50 harkisa. Kanaaf, Reey marga 50 harkifti.

B) Doorotiin nyaata bilcheessuun faayidaa guutuu waan qabduuf marga 100 harkifti. Kanaaf, Doorotiin marga 100 harkifti.

C) Doorotiin nyaata bilcheessuun wal bira qabamee yoo ilaalamu faayidaa waan qabduuf marga 100 harkifti. Kanaaf, Doorotiin wal bira qabamee yoo ilaalamu faayidaa waan qabuuf marga 100 harkisa.

D) Reey nyaata bilcheessuun wal bira qabamee yoo ilaalamu faayidaa waan qabuuf marga 50 harkisa. Kanaaf, Reey wal bira qabamee yoo ilaalamu faayidaa waan qabuuf marga 50 harkisa."
Adaadaan kee dhaabbata xiqqaa mana ishee irraa nyaata appilii hojjettu geggeessiti. Hiriyyoota tokko tokko akka ishee gargaaran qacarti. Haalota armaan gadii keessaa fedhii humna namaa dabaluu kan danda’u isa kami?,"[""Gatiin quncistoota appilii ol ka'uu."", 'Hiriyoonni akkoo keetii guyyaa guutuu odeessu, adeemsa daakuun hojjechuu isaanii suutomsuu.', 'Meeshaa ittiin bilcheessan irratti gurgurtaan ni jira.', ""Qorannoon haaraan akka mul'isutti appiliin carraa kaansariitiin qabamuu akka dabalu ibseera.""]",C,high_school_microeconomics,C) adeemsa daakuun hojjechuu isaanii suutomsuu.
"Aadde Joonsan baajata guyyaa guyyaa ishee guutuu chiipsii dinnichaa, tokkoon tokkoon isaanii $1, fi basaqaa qullubbii adii tokkoon tokkoon isaanii $ 2n baafti. Baandaa fayyadama ishee ammaa irratti, bu'aa baay'ee xiqqaa chiipsii 12 fi bu'aa baay'ee xiqqaa haftee 30. Aadde Johinson dirqama","[""homaa hin godhin; isheen bu'aashee  walnyaatinsa chiipsii fi haftee guddisuun fayyadamaa jirti."", ""hanga faayidaan baay'ee xiqqaa fayyadama chiipsii 30 ta’utti fayyadama chiipsii ishee guddisuu."", ""hanga faayidaan baay'ee xiqqaa fayyadama chiipsii 30 ta’utti fayyadama chiipsii ishee hir’isuu."", ""fayyadama chiipsii hir’isuu fi fayyadama haftee guddisuu hanga faayidaan baay'ee xiqqaa doolaara tokkoof meeshaalee lamaan walqixa ta’utti.""]",D,high_school_microeconomics,"A) Aadde Joonsan homaa hin godhin jedhamee, isheen bu'aashee walnyaatinsa chiipsii fi haftee guddisuun fayyadamaa jirti. Bu'aan chiipsii 12 fi bu'aan haftee 30 jiraachuu isaa, isheen bu'aashee walnyaatinsa chiipsii fi haftee guddisuun fayyadamaa jirti.

B) Aadde Joonsan fayyadama chiipsii 30 ta’utti fayyadama chiipsii ishee guddisuu danda’u. Fayyadama chiipsii 30 ta’utti, isheen fayyadama chiipsii ishee guddisuu danda’u. Kanaafuu, isheen fayyadama chiipsii ishee guddisuu danda’u.

C) Aadde Joonsan fayyadama chiipsii 30 ta’utti fayyadama chiipsii ishee hir’isuu danda’u. Fayyadama chiipsii 30 ta’utti, isheen fayyadama chiipsii ishee hir’isuu danda’u. Kanaafuu, isheen fayyadama chiipsii ishee hir’isuu danda’u.

D) Aadde Joonsan fayyadama chiipsii hir’isuu fi fayyadama haftee guddisuu hanga faayidaan baay'ee xiqqaa doolaara tokkoof meeshaalee lamaan walqixa ta’utti. Fayyadama chiipsii hir’isuu fi fayyadama haftee guddisuu hanga faayidaan baay'ee xiqqaa doolaara tokkoof meeshaalee lamaan walqixa ta’utti. Kanaafuu, isheen fayyadama chiipsii hir’isuu fi fayyadama haftee guddisuu hanga faayidaan baay'ee xiqqaa doolaara tokkoof"
"Gidduu seenuun yoo hin jiraanne dorgommiin mudaa hin qabne, alaa, meeshaaleen ummataa fi odeeffannoon mudaa hin qabne hundi isaanii kanneen armaan gadii keessaa isa kami?","['Korboota fedhii kanneen dhaabbataan dabalamuu qaban ', 'Kufaatii gabaa', ""Gatiin garmalee gadi aanaa ta'e"", 'Baay’ina oomishaa garmalee ol’aanaa ta’e']",B,high_school_microeconomics,A) Korboota fedhii kanneen dhaabbataan dabalamuu qaban
Baasii baay'ee xiqqaa (MC) baasii jijjiiramaa giddugaleessaa (AVC) fi baasii waliigalaa giddugaleessaa (ATC) wajjin walqixa kan ta’u yoo:,"[""baasii gatii baay'ee xiqqaa (MC) AVC fi ATC bakka ol’aanaa isaanii irratti wal qaxxaamuru."", 'AVC fi ATC bakka ol aanaa isaa irratti MC wal qaxxaamuru.', 'MC bakka gad aanaa isaaniitti AVC fi ATC wal qaxxaamura.', 'AVC fi ATC bakka gad aanaa isaa irratti MC wal qaxxaamuru.']",C,high_school_microeconomics,A) baasii gatii baay'ee xiqqaa (MC) AVC fi ATC bakka ol’aanaa isaanii irratti wal qaxxaamuru.
"Juuliyaan galii ishee erga dabaltee booda, ayiskireemii baayʼee fi poopsiikilii xinnoo bitachuu jalqabde. Juuliyaadhaaf, poopsiikiliin","['seera fedhii eeguu dhabuu', 'oomisha waliinii ta’u', 'ayiskireemii wajjin waan gaarii dabalataa dha', 'meeshaa gadi aanaa ta’uu isaati']",D,high_school_microeconomics,E) akkaataa jireenya isaa ibsuu dhabuu.
Monopoliin dorgomaa mudaa hin qabne caalaa gahumsa xiqqaa qaba sababni isaas,"['monopoliin oomisha baay’ee oomishuuf gatii ol’aanaadhaan gurgura', 'monopoliin oomisha xiqqaa oomishuuf gatii ol’aanaadhaan gurgura', 'monopoliin yeroo gabaabaa keessatti bu’aa argachuu danda’a garuu yeroo dheeraa keessatti hin argamsiisu', 'dorgomaan mudaa hin qabne yeroo gabaabaa keessatti illee ni ceha monopoliin immoo hin cehu']",B,high_school_microeconomics,"E) Monopoliin dorgomaan mudaa hin qabne yeroo gabaabaa keessatti illee ni ceha monopoliin immoo hin cehu, kanaafuu monopoliin gahumsa xiqqaa qaba. F) Monopoliin gahumsa xiqqaa qaba yeroo gabaabaa keessatti illee ni ceha monopoliin immoo hin cehu, kanaafuu monopoliin dorgomaan mudaa hin qabne. G) Monopoliin dorgomaan mudaa hin qabne yeroo gabaabaa keessatti illee ni ceha monopoliin immoo hin cehu, kanaafuu monopoliin gahumsa xiqqaa qaba. H) Monopoliin gahumsa xiqqaa qaba yeroo gabaabaa keessatti illee ni ceha monopoliin immoo hin cehu, kanaafuu monopoliin dorgomaan mudaa hin qabne."
"Wixineen sirna gabaa dorgommii keessatti, kanneen armaan gadii keessaa kamtu akkaataa qabeenyi itti ramadamu HIN ibsu?","['Mallattooleen gatii oomishtoonni meeshaalee fi tajaajilootaa maal, yoom, akkamitti fi eenyuuf akka oomishaman qajeelchan.', 'Abbummaa mootummaa sochii qabuu fi kallattii oomishaa.', 'Jijjiirraa gabaa tola ooltummaa bittootaa fi gurgurtootaa gidduutti.', 'Gumaacha ykn oomishtummaa raabsaa galii fi meeshaalee bu’uuraa ']",B,high_school_microeconomics,"A) Mallattooleen gatii oomishtoonni meeshaalee fi tajaajilootaa
B) Yeroo oomishaa
C) Yeroo fi sa'aa oomishaa
D) Abbummaa mootummaa sochii qabuu fi kallattii oomishaa."
Daangaan carraa oomishaa sarara qajeelaa ta'a yeroo,"['gahumsi argamu', ""fayyadama keessatti neeshaaleen sarara irratti bakka bu'aa sirrii ti"", ""bu'aan ni guddata"", 'qabeenyi adda miti']",D,high_school_microeconomics,B) fayyadama keessatti neeshaaleen sarara irratti bakka bu'aa sirrii ti
Himoota armaan gadii keessaa kamtu sirrii dha?,"[""Bu'aa Diinagdee = Bu'aa Herregaa."", ""Baasii Diinagdee = Baasii Ifa Ta’e ida'uu Baasii Icciitii."", 'Baasii Diinagdee = Baasii Ifa Baasii Icciitii irraa hir’isuun.', 'Baasii Carraa = Bu’aa Diinagdee.']",B,high_school_microeconomics,A) Bu'aa Diinagdee = Bu'aa Herregaa.
"Yoo gatiin humna namaa yuunitii tokkoo, qabeenya jijjiiramaa, dabale, kanneen armaan gadii keessaa isa kam fida?","[""AFC keessatti jijjiirama olka'aa."", ""MPL keessatti jijjiirama olka'aa."", 'ATC gara gadiitti ni jijjiira.', ""MC keessatti jijjiirama olka'aa .""]",D,high_school_microeconomics,"Jawaabicha kana keessaa, qabeenya jijjiiramaa yuunitii tokkoo humna namaa gadiitti dabalamuun kanneen armaan gadii keessaa isa kam fida jechuun, gara gadiitti ni jijjiira jedhu Dha. Kanaaf, jawaabicha C) ATC gara gadiitti ni jijjiira."
"Mindaan yuunitii humna namaa hundaaf kaffalamu $4.50 yoo ta’e, yuunitii humna namaa meeqatu qacarama?","['1', '2', '3', '4']",B,high_school_microeconomics,C) 3
"Fayyadamtoonni daabboon midhaan hedduu qabu carraa kaansarii haalaan akka hir’isu yoo gorfaman, gabaa daabboo midhaan hedduu qabu keessatti kanneen armaan gadii keessaa kamtu raawwata?","['Caafiin fedhii gara bitaatti kan ce’u yoo ta’u, kunis gatii daabboo midhaan hedduu qabu ni hir’isa.', 'Caafiin dhiyeessii gara bitaatti kan ce’u yoo ta’u, kunis gatii daabboo midhaan hedduu qabu ni dabala.', 'Caafiin fedhii gara mirgaatti kan ce’u yoo ta’u, gatii daabboo midhaan hedduu qabu ni dabala.', 'Caafiin dhiyeessii gara mirgaatti kan ce’u yoo ta’u, kunis gatii daabboo midhaan hedduu qabu ni hir’isa.']",C,high_school_microeconomics,A) Caafiin fedhii gara bitaatti kan ce’u yoo ta’u
Caasaaleen gabaa dorgommii mudaa hin qabnee fi dorgommii dorgomaa hin qabnee amala armaan gadii keessaa isa kam qooddatu?,"['Yeroo dheeraa keessatti salphaatti seenuu fi bahuu', 'Oomishaalee walfakkaataa ta’an', 'Fedhii guutuu elastikii oomisha dhaabbatichaaf', 'Bu’aa gaarii yeroo dheeraa']",A,high_school_microeconomics,C) Fedhii guutuu elastikii oomisha dhaabbatichaaf
"Yeroo alaa negaatiiviin bu’aa oomisha meeshaa tokkootiin jiraatu, baay’inni oomishaa hawaasummaan mijatu karaa","['kaappitaalizimii gabaa bilisaa', 'baay’ina oomishamuu danda’u irratti daangaa kaa’uudhaan', 'bittaa meeshaa mootummaan ', 'baay’ina oomishamuu danda’u irratti xiqqaa kaa’uu']",B,high_school_microeconomics,E) oomishaa hawaasummaa fi seeraan ala jijjiiramaa jiraatu.
"Jaason gabaa naannoo dorgommii gaarii qabu keessatti poolii daakuu qulqulleessa. Bu'aa guddaa kan qabu yoo ta'u, guyyaatti poolii 9 qulqulleessuuf poolii tokkoof $10 kaffaluu danda'a, baasii jijjiiramaa waliigalaa $80 fi baasii dhaabbataa waliigalaa $20 fida. Kanneen armaan gadii keessaa kamtu dhugaadha?","['Jaasoon yeroo gabaabaa keessatti cufamuu qaba, kasaaraa dinagdee $20.', 'Jaasoon yeroo gabaabaa keessatti cufamuu qaba, kasaaraa dinagdee $10.', 'Jaasoon guyyaatti poolii 9 qulqulleessuu qaba, kasaaraa dinagdee $20tiin.', 'Jaasoon guyyaatti poolii 9 qulqulleessuu qaba, kasaaraa dinagdee $10tiin.']",D,high_school_microeconomics,"A) Jaasoon yeroo gabaabaa keessatti cufamuu qaba. 

Jaason poolii 9 qulqulleessuuf poolii tokkoof $10 kaffaluu danda'a, jechuun $90 kaffalaa. Baasii jijjiiramaa waliigalaa $80 fi baasii dhaabbataa waliigalaa $20 fida, jechuun $100 kaffalaa. Kanaafuu, Jaason yeroo gabaabaa keessatti $10 cufamuu qaba."
Gabaa dorgomaan hawaasaaf bu'aa gaarii ta'e argamsiisa sababni isaas,"['faayidaan fayyadamaa xiqqaa ta’ee, caalmaan oomishtootaa ammoo guddaa ta’a.', 'walgargaarsi waliigalaa guddaa ta’a.', 'caalmaan oomishtootaa xiqqaa ta’ee, caalmaan fayyadamtootaa ammoo guddaa ta’a.', 'garaagarummaan fayyadamaa fi hafteen oomishtootaa gidduu jiru guddaa ta’a.']",B,high_school_microeconomics,B) caalmaan oomishtootaa ammoo guddaa ta’a.
DVD'f elastiiksii galii +1.5 ol akka ta'e sitti himama. Kana jechuun,"['galiin dhibbeentaa 10 dabaluudhaan fayyadama DVD dhibbeentaa 15n akka dabalu taasisa. ', 'galiin dhibbeentaa 10 dabaluudhaan fayyadama DVD dhibbeentaa 15n akka dabalu taasisa. DVDonni meeshaalee tuffatamoodha', 'galiin dhibbeentaa 10 dabaluudhaan fayyadama DVD dhibbeentaa 15n hir’isa. DVDonni meeshaalee tuffatamoodha ', 'gatiin DVD dhibbeentaa 10n dabaluudhaan fayyadamni DVD dhibbeentaa 15n akka hir’atu taasisa. DVDonni gatii meeshaaee elastikiiti']",A,high_school_microeconomics,B) galiin dhibbeentaa 10 dabaluudhaan fayyadama DVD dhibbeentaa 15n akka dabalu taasisa. DVDonni meeshaalee tuffatamoodha
"Gatiin oomisha tokkoo gatiin oomisha bakka bu’aa tokkoo dhaabbataa ta’ee hafee akka fayyadamaan oomisha kana caalaa akka bitu yoo hir’ate, kun kan jedhamu","[""bu'aa galii."", 'bu’aa bakka bu’iinsaa.', ""bu’aa baay'ee xiqqaa."", 'bu’aa dhiyeessii.']",B,high_school_microeconomics,B) bu’aa bakka bu’iinsaa.
Kanneen armaan gadii keessaa fakkeenyi galii daddarbaa isa kami?,"['Galiiwwan taphataa beekamaa kubbaa kaachoo $ miiliyoona 40.', 'Galii soorama wabii hawaasummaa.', 'Kaffaltii walgargaarsaa tajaajila hawaasummaa irraa.', ""Qarshii qabduu mana nyaataa keessatti sa'aatii tokkotti $8 kan qarshii qabdoonni biroo argatan argattu.""]",D,high_school_microeconomics,A) Galiiwwan taphataa beekamaa kubbaa kaachoo $ miiliyoona 40.
Daldalli xiqqaan tokko jijjiirama gatii fedhii oomishaa akka 3 ta'u tilmaama. Galii waliigalaa walitti qabuuf abbootiin qabeenyaa dirqama,"['fedhiin jijjiiramaa waan ta’eef gatii hir’isuu.', 'fedhiin waan dhaabbataa ta’eef gatii hir’isuu.', 'fedhiin jijjiiramaa waan ta’eef gatii dabaluu.', 'fedhiin waan dhaabbataa ta’eef gatii dabaluu.']",A,high_school_microeconomics,A) fedhiin jijjiiramaa waan ta’eef gatii hir’isuu.
Monopoliin biyyoota lamaanii kan jiru yeroo,"['monopsoniin tokko monopolii  irraa bita', 'monopoliin tokko fayyadamtoota gosa adda addaa lamatti gurgura', 'monopoliin tokko monopsonii irraa bita', 'namni monopolistii tokko meeshaalee gosa adda addaa lama gurgura']",A,high_school_microeconomics,D) namni monopolistii tokko meeshaalee gosa adda addaa lama gurgura
Dhaabbileen indaastirii dorgomaa monopoliii  ta'e keessa yoo seenan  kan nuti eegnu,"['fedhiin dhaabbilee jiranii gara mirgaatti akka ce’an.', 'gatiin gabaa oomishaa akka dabalu.', 'fedhiin dhaabbilee jiranii caalaatti akka jijjiiramu ta’an.', 'fedhiin dhaabbilee jiranii gara bitaatti akka ce’an.']",D,high_school_microeconomics,A) fedhiin dhaabbilee jiranii gara mirgaatti akka ce’an.
Seerrii Bu’aa Baay'ee  Xiqqaa Hir’achuu itti gaafatamummaan isaa,"[""AVC kan jalqabaa ol ka'uu, garuu dhuma irratti kufa, akkuma oomishni dabalaa deemuun."", ""AFC kan jalqaba ol ka'uu, garuu dhuma irratti kufa, akkuma oomishni dabalaa deemuun."", ""MP kan jalqaba kufa, garuu dhuma irratti ol ka'a, akkuma oomishni dabalaa deemuun."", ""MC kan jalqaba kufa, garuu dhuma irratti ol ka'a, akkuma oomishni dabalaa deemuun.""]",D,high_school_microeconomics,"A) AVC kan jalqabaa ol ka'uu. Seerrii Bu’aa Baay'ee Xiqqaa Hir’achuu itti gaafatamummaan isaa kan jalqabaa ol ka'uu, kanneen akka AVC (Audio Visual Communication) tahuu isaa ni argama. Kanaafuu, seerrii kana irratti hundaa'uun AVC kan jalqabaa ol ka'uu jechuudha.

B) garuu dhuma irratti kufa. Seerrii Bu’aa Baay'ee Xiqqaa Hir’achuu itti gaafatamummaan isaa dhuma irratti kufa jechuudha. Kanaafuu, seerrii kana irratti hundaa'uun dhuma irratti kufa jechuudha.

C) akkuma oomishni dabalaa deemuun. Seerrii Bu’aa Baay'ee Xiqqaa Hir’achuu itti gaafatamummaan isaa akkuma oomishni dabalaa deemuun jechuudha. Kanaafuu, seerrii kana irratti hundaa'uun akkuma oomishni dabalaa deemuun jechuudha.

D) AFC kan jalqaba ol ka'uu. Seerrii Bu’aa Baay'ee Xiqqaa Hir’achuu itti gaafatamummaan isaa kan jalqabaa ol ka'uu, kanneen akka AFC (Audio Frequency Communication) tahuu isaa ni argama. Kanaafuu, seerrii kana irratti hundaa'uun AFC kan jalqabaa ol ka'uu jechuudha."
"Kanneen armaan gadii keessaa hiika gabaabaa dinagdee kan xumuru isa kami? ""Dinagdeen qorannoo . . .""","['akkamitti qabeenyi daangaa hin qabne fedhii hanqina qabu gidduutti akka ramadamu.', 'akkaataa maallaqni dinagdee keessa naanna’u.', 'akkamitti korporeeshiniiwwan gatii aksiyoonaa aksiyoonaa isaanii akka guddisan.', 'fedhii daangaa hin qabne guutuuf qabeenyi hangam akka ramadamu.']",D,high_school_microeconomics,A) akkamitti qabeenyi daangaa hin qabne fedhii hanqina qabu gidduutti akka ramadamu.
"Kaappitaalli yuunitii tokko irratti murtaa’ee yuunitii humna namaa 1, 2, 3 yuunitii walduraa duubaan walqixa ta’een yoo dabalame, oomishni oomishaa 300 (yuunitii humna namaa 1), gara 350 (yuunitii humna namaa 2) gara 375 (yunitii humna namaa 3)tti ol guddata Kanneen armaan gadii keessaa hiikkaan sirrii ta’e isa kami?","[""Kun yeroo dheeraa bu'aa sadarkaa dabaluudha."", ""Kun yeroo dheeraa bu'aa sadarkaa hir'isuudha."", ""Kun yeroo dheeraa dhaabbataa deebi'uu gara sadarkaati."", ""Kun yeroo gabaabaa keessatti oomishtummaa baay'ee xiqqaa hir’isuudha.""]",D,high_school_microeconomics,A) Kun yeroo dheeraa bu'aa sadarkaa dabaluudha.
Kanneen armaan gadii keessaa fakkeenyi gaariin faayidaa uummataa isa kami?,"['Barnoota vaayiliinii dhuunfaa', 'Tola ooltummaa muummee ibiddaa hawaasa keessatti', 'Tikeetii $1 muuziyeemii seenuuf', 'Borsaa chiipsii dinnichaa']",B,high_school_microeconomics,B) Tola ooltummaa muummee ibiddaa hawaasa keessatti
Kanneen armaan gadii keessaa isa kamtu fakkeenya gaarii meeshaa uummataati?,"['Daawwannaa ogeessa ilkaan sirreessuu', 'Kutaa mana gogaa itti tolchanii', 'Piizaa guddaa', 'Buufata Hawaa Idil Addunyaa']",D,high_school_microeconomics,A) Daawwannaa ogeessa ilkaan sirreessuu
Yeroo jijjiirama gatii qaxxaamuraa fedhii negatiivii ta’u meeshaaleen gaaffii keessa jiran dirqama,"['baratamaa', 'gadi aanaa ', ""kan wal ta'an"", ""bakka wal bu'an""]",C,high_school_microeconomics,C) kan wal ta'an
Gabaan humna namaa dorgomaa ta’e yeroo ammaa walmadaalummaa keessa jira. Kanneen armaan gadii keessaa kamtu miindaa gabaa dabaluu danda’a?,"['Barattoonni hedduun ogummaa gabaa humna namaa kanaaf barbaachisu qabatanii eebbifamu.', 'Fedhiin waan meeshaa humna namaa kanaan oomishamuu cimaadha.', 'Gatiin qabeenya dabalataa tokkoo ni dabala.', 'Muummeen humna namaa fedhii hojjettootaa dursanii muummee kana keessa hojjetan akka qormaata darban ni hambisa']",B,high_school_microeconomics,E) Hojjettoonni humna namaa kanaan danda'amanii gabaa dabalatanii miindaa gabaa dabaluu danda'uu danda'an.
Sababni mootummaan monopolii abdii kutachiisuu fi to’atu keessaa tokko isa,"['caalmaan oomishtootaa ni bada, caalmaan fayyadamaa ni argama.', 'gatiin monopolii gahumsa oomishaa mirkaneessa garuu gahumsa ramaddii hawaasaa miidha.', 'dhaabbileen monopolii qorannoo fi misooma guddaa irratti hin bobba’an.', 'gatii olka’aa fi sadarkaan oomishaa gadi aanaa ta’een caalmaan fayyadamtootaa ni bada.']",D,high_school_microeconomics,"A) caalmaan oomishtootaa ni bada. 

Monopolii abdii kutachiisuu fi to’atu keessaa mootummaan monopolii caalmaan oomishtootaa ni bada jechuun, mootummaan gargaarsa fi deeggarsa qabaachuu fi hojiiwwan saamicha irratti bobba'uuf yaaluu danda'a. Kanaaf, mootummaan monopolii abdii kutachiisuu fi to'atu keessaa tokko caalmaan oomishtootaa ni bada jechuudha. 

B) caalmaan fayyadamaa ni argama. 

Mootummaan monopolii abdii kutachiisuu fi to'atu keessaa tokko caalmaan fayyadamaa ni argama jechuudha. Mootummaan gargaarsa fi deeggarsa qabaachuu fi hojiiwwan saamicha irratti bobba'uuf yaaluu danda'a. Kanaaf, mootummaan monopolii abdii kutachiisuu fi to'atu keessaa tokko caalmaan fayyadamaa ni argama jechuudha. 

C) gatiin monopolii gahumsa oomishaa mirkaneessa garuu gahumsa ramaddii hawaasaa miidha. 

Mootummaan monopolii abdii kutachiisuu fi to'atu keessaa tokko, gatiin monopolii gahumsa oomishaa mirkaneessa garuu gahumsa ramaddii hawaasaa miidha jechuudha. Mootummaan gargaarsa fi deeggarsa qabaachuu fi hojiiwwan saamicha irratti bobba'uuf yaaluu danda'a. Kanaaf, mootummaan monopolii abdii kutachiisuu fi to'atu keessaa tokko, gatiin monopolii gahumsa oomishaa mirkaneessa garuu gahumsa ramaddii hawaasaa miidha jechuudha. 

D) dhaabb"
Gabaa qulqulluu (ykn guutummaatti) dorgommii gaarii X keessatti walmadaalummaa ilaalchisee kanneen armaan gadii keessaa kamtu dhugaadha?,"['Hanqinni meeshaa X ni jira.', 'Baay’inni gaafatame baay’ina meeshaa X dhihaate wajjin walqixa.', 'Caalmaan meeshaa X ni jira.', 'Mootummaan baay’ina meeshaa X gatii gabaatiin oomishamu ni to’ata.']",B,high_school_microeconomics,A) Hanqinni meeshaa X ni jira.
Gatiin peerii yeroo dabalu kanneen armaan gadii eegna:,"['Baay’inni peerii gaafatamu ol ka’a.', 'Baay’inni dhihaate kufaatii peerii.', 'Baay’inni peerii barbaadamu ni kufa.', 'Fedhiin peerii ni kufa.']",C,high_school_microeconomics,"A) Baay’inni peerii gaafatamu ol ka’a. - The process of peer review is not easy.
B) Baay’inni dhihaate kufaatii peerii. - The result of peer review is beneficial.
C) Baay’inni peerii barbaadamu ni kufa. - The process of peer review is necessary.
D) Fedhiin peerii ni kufa. - The purpose of peer review is important."
Dhiyeessiin wayinii dabaluu wajjin yeroo tokkotti fedhiin wayinii yoo dabale akkas jechuu dandeenya,"['baay’inni walmadaalawaa ni dabala, jijjiiramni gatii garuu wal-xaxaa dha.', 'baay’inni walmadaalawaa ni kufa, garuu jijjiiramni gatii wal-xaxaa dha.', 'baay’inni walmadaalawaa ni dabala, gatiinis ni dabala.', 'baay’inni walmadaalawaa ni kufa, gatiinis ni kufa.']",A,high_school_microeconomics,B) jijjiiramni gatii garuu wal-xaxaa dha.
Mootummaan monopolii uumamaa sadarkaa oomishaa ramaddii gahumsa qabu akka oomishuuf to’achuu yoo barbaade oomisha tokko irratti ,"['bakka gatiin baasii waliigalaa giddugaleessaa wajjin walqixa ta’etti.', ""bakka galiin baay'ee xiqqaa baasii baay'ee xiqqaa wajjin walqixa ta’etti."", 'bakka bu’aan idilee itti argamutti.', ""bakka gatiin baasii baay'ee xiqqaa gatii wajjin walqixa ta’etti.""]",D,high_school_microeconomics,A) bakka gatiin baasii waliigalaa giddugaleessaa wajjin walqixa ta’etti.
Yeroo jijjiiramni gatii fedhii 1 ol ta’u fedhiin,"[""guutummaatti dhaabbataa ta'a."", 'jijjiiramaa ta’a.', ""dhaabbataa ta'a."", ""yuunitii jijjiiramaa ta'a.""]",B,high_school_microeconomics,B) jijjiiramaa ta’a.
Sirnoota gibiraa armaan gadii keessaa galii dureeyyii irraa argamu harka qalleeyyiif irra deebiin qooduuf kan qophaa’e isa kami?,"['Sirna gibiraa tarkaanfataa ta’e', ""Sirna gibiraa duubatti deebi'aa"", 'Sirna gibiraa pirooppoorshinaalii', 'Sirna gibira wijaa']",A,high_school_microeconomics,B) Sirna gibiraa duubatti deebi'aa
Haalota kana keessaa fakkeenya loogii gatii kan hin taane isa kami?,"['Bireenti halkan waan hojjetuuf, daabboo sa’aatii 7 w.b. osoo hin taane sa’aatii 7 w.d.tti bitachuu filata.', 'Boobii fi Naansii tokkoon tokkoon isaanii poostaadhaan kuuppooniin ""$1 off"" kan argatan yoo ta\'u, Boobiin garuu deebiseera yeroo Naansiin hin furre.', ""Keetiin Kookii 12 $3n kan bitattu yoo ta'u, Joosh ammoo yeroo tokkotti Kookii tokko $1n bita."", ""Veelmaan gatii matinee waaree boodaa gadi aanaadhaan gara fiilmii deemuun kan jaallattu yoo ta'u, Roozmariin ammoo agarsiisa galgalaa kanaaf kaffaltii dabalataa kaffaluu filatti.""]",A,high_school_microeconomics,"C) Boobii fi Naansii tokkoon tokkoon isaanii poostaadhaan kuuppooniin ""$1 off"" kan argatan yoo ta\'u"
